Artiste Name,Youtube Link,Youtube ID,Spotify Link,Spotify ID
Asake,https://music.youtube.com/channel/UCCjfbcoH0ZYT0r1jScDHJMg,UCCjfbcoH0ZYT0r1jScDHJMg,,
AV,https://music.youtube.com/channel/UCdIr60BXL9Vgs3Wgdce5O4g,UCdIr60BXL9Vgs3Wgdce5O4g,,
